MAL_ID,English name,Rating,Ranked,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Episodes
45,Rurouni Kenshin,6,220,386195,11236,29540,216154,30655,18588,91258,94
46,Samurai X:The Motion Picture,8,1397,44334,107,547,34481,438,228,8640,1
47,AKIRA,10,333,566538,9555,8258,434086,3491,2174,118529,1
48,.hack//Sign,7,3687,158227,1359,6733,91528,8315,11881,39770,26
49,Oh! My Goddess,9,2226,46428,267,993,34581,860,894,9100,5
50,Ah! My Goddess,6,2116,135747,1124,5841,85884,6517,7971,29534,24
51,Angel Sanctuary,6,6823,43960,215,812,32981,749,1311,8107,3
52,Battle Doll Angelic Layer,6,2529,51022,290,1653,32978,2615,2852,10924,26
53,Ai Yori Aoshi,8,3012,94793,458,4111,60075,4160,5814,20633,24
54,Unknown,1,3206,65139,173,787,52100,403,489,11360,1
55,Unknown,3,5738,14187,17,581,7032,718,910,4946,26
56,Unknown,5,8501,15779,21,617,7906,712,1255,5289,13
57,Beck:Mongolian Chop Squad,7,221,255668,7038,10580,133432,10190,8488,92978,26
58,Blue Gender,9,3455,65360,389,2738,31583,2534,3195,25310,26
59,Chobits,2,1804,402646,3859,15294,272425,18082,22409,74436,26
60,Chrono Crusade,4,1120,198007,2064,8228,117484,9881,9842,52572,24
61,D.N.Angel,6,2761,167615,1523,5183,117045,7599,11057,26731,26
62,D.C.~Da Capo~,8,4589,67491,189,3024,36037,2840,3852,21738,26
63,DearS,10,5274,128788,391,3766,95113,3066,5507,21336,12
64,Rozen Maiden,7,1782,176775,2074,5599,113914,6040,7852,43370,12
65,Rozen Maiden:Träumend,8,1146,93768,516,2006,73523,2114,1647,14478,12
66,Azumanga Daioh:The Animation,7,555,262980,5181,13747,143431,16133,13115,76554,26
67,Basilisk,7,1325,156661,1467,6964,82153,6380,6957,54207,24
68,Black Cat,7,1965,231668,1955,10510,142921,11736,11003,55498,23
69,Unknown,8,6646,9299,13,500,3068,629,942,4160,25
71,Full Metal Panic!,1,1146,411230,4417,17458,264665,16076,13806,99225,24
72,Full Metal Panic? Fumoffu,3,452,254465,2988,5383,204041,4435,3533,37073,12
73,Full Metal Panic! The Second Raid,5,579,227927,1358,4667,177524,3840,2271,39625,13
74,Gakuen Alice,7,1158,81446,1613,2495,57369,2843,2916,15823,26
75,Fafner of the Blue Sky,9,2348,40602,255,2179,16417,1849,1987,18170,25
76,Magical Girl Lyrical Nanoha,2,1828,88890,1036,3287,47731,2865,2625,32382,13
77,Magical Girl Lyrical Nanoha A's,4,551,56981,1014,1367,40165,1088,828,13533,13
79,Shuffle!,6,3231,240751,1572,10943,151944,9558,13227,55079,24
80,Mobile Suit Gundam,8,867,97216,1787,7737,52669,5473,3100,28237,43
81,Mobile Suit Gundam:The 08th MS Team,10,511,62655,911,2405,43537,1437,794,14482,12
82,Mobile Suit Gundam 0080:War in the Pocket,6,677,43308,717,978,30112,595,392,11231,6
83,Unknown,8,4498,11460,3,149,8314,130,136,2731,1
84,Mobile Suit Gundam 0083:Stardust Memory,8,2361,33687,230,977,24492,715,448,7055,13
85,Mobile Suit Zeta Gundam,9,655,53822,1721,3912,32798,2628,1049,13435,50
86,Mobile Suit Gundam ZZ,9,5111,30758,130,1647,18408,1354,917,8432,47
87,Mobile Suit Gundam:Char's Counterattack,8,1084,34221,293,437,25957,233,171,7423,1
88,Mobile Suit Gundam F91,10,5049,23161,63,357,16731,207,193,5673,1
89,Mobile Suit V Gundam,8,4632,20794,95,1225,10068,1094,628,7779,51
90,Mobile Suit Gundam Wing,8,984,132208,2538,5922,95155,5945,4411,20775,49
91,Mobile Suit Gundam Wing:Endless Waltz,10,897,41030,221,500,34369,280,250,5631,3
92,After War Gundam X,8,2228,28862,189,1554,15987,1746,983,8592,39
93,Mobile Suit Gundam SEED,6,850,140346,3584,4898,101920,4589,5021,23918,50
94,Unknown,8,2687,90208,1206,2210,70845,2251,2749,12153,50
95,∀ Gundam,8,1018,35670,760,2378,14651,2327,1448,14866,50
96,Mobile Fighter G Gundam,8,1396,55463,896,2499,38653,2505,1607,10199,49
97,Last Exile,9,795,149528,1848,5943,77235,6541,5038,54771,26
98,My-Hime,1,1698,101495,1262,3442,60321,3690,4215,29827,26
99,My-Otome,3,2308,46018,333,1147,31335,1222,1598,10716,26
100,Prétear:The New Legend of Snow White,5,2785,53508,457,1607,33827,1504,1760,14810,13
101,Air,7,2230,259381,2704,7367,170036,8109,9992,63877,12
102,Unknown,9,1634,89533,571,3772,59770,4008,4946,17037,26
103,Red Riding Hood Chacha,2,1941,12006,88,691,5140,993,994,4188,74
104,"Ceres, Celestial Legend",4,2641,53189,535,2099,31162,2479,3400,14049,24
105,Boys Be...,6,6088,20032,41,768,10371,809,1385,6699,13
106,Hana Yori Dango,8,1027,48623,762,2502,25257,2178,2974,15712,51
107,Jing:King of Bandits,10,2625,32988,210,1343,16532,1452,1714,11947,13
108,Jing:King of Bandits - Seventh Heaven,7,2367,11591,29,283,7309,208,159,3632,3
109,Burst Angel,7,4381,62106,257,2789,34321,3539,4492,16965,24
110,Unknown,9,1195,15608,107,990,8203,837,817,4761,52
111,Corrector Yui,8,4318,12222,50,463,6825,661,963,3310,52
112,The Cosmopolitan Prayers,8,10648,7392,5,269,3567,243,568,2745,8
113,Stellvia,7,1980,20924,127,820,10722,957,960,7465,26
114,Cromartie High School,9,631,112001,1561,8242,49634,7970,5164,40991,26
115,Unknown,8,4315,9684,10,275,6251,307,352,2499,13
116,El-Hazard:The Wanderers,7,3735,14603,35,613,8190,628,667,4505,26
117,Unknown,9,2240,15406,91,521,9059,408,352,5066,7
118,Unknown,7,4239,7745,5,163,5472,166,120,1824,4
119,Unknown,9,5567,31774,48,958,21798,756,1088,7174,13
120,Fruits Basket,8,1058,420919,9504,15410,297921,12910,16709,77969,26
121,Fullmetal Alchemist,8,337,1151621,26564,52738,880215,41631,38693,138344,51
122,Searching for the Full Moon,8,585,90884,1823,3807,51760,4784,5484,25049,52
123,Mysterious Play,1,1172,96861,2277,5124,53674,5497,5964,26602,52
124,Mysterious Play:Eikoden,3,4189,15576,69,257,11630,225,218,3246,4
125,Twin Love,5,5946,31358,22,1052,19836,962,1485,8023,13
126,Unknown,7,3968,28297,71,1073,13965,1144,1565,10550,13
127,Unknown,9,3767,19351,59,726,11013,941,1182,5489,24
128,Unknown,2,4489,9399,23,216,5904,271,273,2735,6
129,Saiyuki,4,1315,46228,833,2628,22100,3188,3069,15243,50
130,Saiyuki Reload,6,1858,28277,116,1224,15616,1186,1189,9062,25
131,Saiyuki Gunlock,8,1840,19393,51,728,10446,702,519,6998,26
132,Getbackers,10,1249,105139,911,5642,55921,8039,7436,28101,49
133,Green Green,8,7303,106208,263,2671,79017,2144,5446,16930,12
134,Gunslinger Girl,7,1821,161010,1140,6742,82948,7728,8160,55432,13
135,Hikaru no Go,7,400,111164,2186,5480,62705,6454,6700,29825,75
136,Hunter x Hunter,8,143,416227,9525,28061,260968,15535,15100,96563,62
137,Unknown,8,205,101579,408,2115,80683,832,776,17173,8
138,Unknown,8,299,116633,318,2256,98042,833,802,14700,8
139,Unknown,1,230,111292,268,2091,92109,827,750,15515,14
141,Jinki:Extend,3,7618,9900,10,420,4784,474,699,3523,12
142,Unknown,5,1746,46140,499,1518,32304,1751,1977,8590,44
143,Destiny of the Shrine Maiden,7,4169,60077,767,2269,33411,2025,2994,19378,12
144,Unknown,9,3174,55784,248,1418,32662,1469,2522,17713,13
145,His and Her Circumstances,2,1254,170539,2188,11136,75368,10132,7994,65909,26
146,This Ugly Yet Beautiful World,4,4625,54222,178,1995,33816,1909,2381,14121,12
147,Rumbling Hearts,6,2604,123752,1072,3792,75846,3242,4458,36414,14
148,Diamond Daydreams,8,5305,7823,9,345,2781,354,418,3925,12
149,Loveless,10,4203,121063,1632,4134,81173,4010,8783,22963,12
150,Blood+,7,1116,317767,4623,17892,163002,20855,20329,95689,50
151,Unknown,7,3130,22697,133,914,10939,588,534,9722,3
152,Unknown,10,2447,25666,124,1098,13419,1462,1473,8214,24
153,The Twelve Kingdoms,1,464,113627,2261,6948,41705,5871,4897,54206,45
154,Shaman King,3,853,294021,3672,11999,208822,11722,13069,48409,64
155,X - The Movie,5,5420,31227,128,454,22871,314,351,7237,1
156,X,7,1804,69684,796,2710,39454,3274,3006,21240,24
157,Negima!,9,3708,121120,601,5607,74264,5159,7468,28622,26
158,Maria Watches Over Us,2,2178,53511,663,2234,22274,1941,2716,24346,13
159,The Melody of Oblivion,4,6657,16632,43,785,6788,751,1212,7096,24
160,"Now and Then, Here and There",6,1140,108100,1018,4451,39741,3252,2434,58222,13
161,Peace Maker Kurogane,8,2186,50151,307,2172,26653,2370,2148,16808,24
162,Pita-Ten,10,3863,20422,104,743,11980,1103,1557,5039,26
163,Unknown,8,6015,6378,20,196,4024,223,447,1488,26
164,Princess Mononoke,8,40,876813,17114,11422,735624,3384,1386,124997,1
165,RahXephon,7,1820,100343,949,4101,46207,4534,4203,41298,26
166,Samurai 7,8,1646,110124,744,4453,67372,4951,4474,28874,26
167,Scrapped Princess,8,1861,81917,433,3417,42524,3547,3269,29160,24
168,s-CRY-ed,9,1969,72311,673,2428,44099,2630,2840,20314,26
169,Lunar Legend Tsukihime,9,3970,135721,654,5080,77659,3687,4104,45191,12
170,Slam Dunk,9,92,201203,5471,15530,108713,12179,7862,56919,101
171,Unknown,9,6634,4112,7,180,1487,168,205,2072,13
173,Unknown,8,2668,36569,184,2144,15626,2413,2272,14114,25
174,Tenjho Tenge,9,3911,158482,647,7266,100783,6039,8559,35835,24
175,Tokyo Underground,1,5230,25243,41,1335,13386,1350,1740,7432,26
176,Unknown,3,7381,6030,6,192,3163,144,193,2338,4
177,Tsubasa RESERVoir CHRoNiCLE,5,1437,195978,2284,9373,106909,11295,11986,56415,26
178,Ultramaniac - Magical Girl,7,2871,27718,141,1221,15384,1352,1595,8166,26
179,Unknown,9,4978,4941,4,76,3304,77,70,1414,1
180,Vandread,2,2723,73554,436,2047,53218,1823,2410,14056,13
181,Unknown,4,1850,47649,117,807,40117,720,601,5404,13
182,The Vision of Escaflowne,6,1037,127239,2086,4987,70674,5094,4211,42273,26
183,Unknown,8,1939,12063,73,542,7300,498,603,3120,39
184,Unknown,10,6577,17824,46,637,9556,812,1200,5619,12
185,Initial D First Stage,8,231,229315,6949,14291,148516,7949,4915,53644,26
186,Initial D Second Stage,9,391,134642,691,3055,114742,1279,751,14815,13
187,Unknown,8,689,113842,469,1340,98309,519,348,13326,1
188,Masquerade,9,2123,2308,4,148,1072,100,122,866,4
189,Love Hina,9,3037,225891,1584,7492,154064,7241,11599,45495,24
190,Love Hina Again,8,2581,76962,95,771,66654,551,456,8530,3
191,Love Hina Christmas Movie,8,2174,53291,49,353,47981,287,168,4502,1
192,Love Hina Spring Movie,8,2731,48221,23,369,42726,290,182,4654,1
193,Maburaho,9,4444,85634,259,3675,58233,3065,4208,16453,24
194,Macross Zero,7,1438,33232,125,896,22070,670,438,9158,5
195,Please Teacher!,9,2877,147889,926,3832,109656,2687,4175,27539,12
196,Please Twins,10,4123,77733,192,1717,60488,1470,2083,11975,12
197,Unknown,1,5608,21968,51,959,12205,983,1638,6183,24
198,Speed Grapher,3,2105,95801,602,4968,41984,4881,4861,39107,24
199,Spirited Away,5,23,1245727,25610,14444,1124666,3124,1437,102056,1
200,Cheeky Angel,7,1653,22832,133,1595,9671,1528,1553,8485,50
201,Video Girl Ai,9,2725,23075,107,627,13879,548,472,7549,6
202,Wolf's Rain,2,803,271685,5716,12930,135944,14981,11858,95972,26
203,Unknown,4,543,7447,38,391,4406,264,265,2121,5
204,Unknown,6,7783,24902,35,1108,15177,1002,1630,5985,12
205,Samurai Champloo,8,105,892196,29414,59611,551621,45449,19921,215594,26
206,Record of Lodoss War:Chronicles of the Heroic Knight,10,2951,25344,117,1161,11810,1207,1143,10023,27
207,Record of Lodoss War,6,1904,51172,487,2674,24276,1835,1566,20821,13
208,R.O.D - Read or Die,10,1105,56984,317,1121,39760,823,597,14683,3
209,R.O.D -The TV-,7,1410,61604,423,2391,32941,3095,2575,20602,26
210,Ranma ½,7,891,194975,3665,18777,97406,22563,17404,38825,161
211,Unknown,7,87,3114,14,177,1834,112,122,869,2
212,Unknown,8,4200,14403,104,303,8473,165,142,5320,1
213,Welcome to Pia Carrot,1,56,3074,5,156,1715,106,139,958,3
214,Welcome To Pia Carrot 2,3,54,2097,4,99,1247,65,100,586,3
215,Unknown,5,6799,2109,3,93,1224,67,72,653,6
216,Welcome to Pia Carrot! Sayaka's Love Story,7,8395,2450,3,70,1498,46,65,771,1
217,New Angel,9,84,2432,13,192,1125,105,141,869,5
218,Martian Successor Nadesico,2,1521,43756,420,2293,20469,2164,1736,17094,26
219,Martian Successor Nadesico:The Prince of Darkness,4,4595,13414,33,243,9758,177,115,3121,1
220,Mystery of the Necronomicon,6,657,2254,7,123,1163,101,119,748,4
221,Unknown,8,351,24730,93,753,16749,358,324,6546,2
222,Unknown,10,5005,17246,33,712,9251,774,957,5552,13
223,Dragon Ball,8,535,735546,13454,37544,600337,27310,23902,46453,153
225,Dragon Ball GT,9,5974,472177,1878,9834,408494,7582,21120,25147,64
226,Elfen Lied,8,1382,1187921,23830,36600,885356,27617,40191,198157,13
227,FLCL,8,505,610114,23432,21496,409775,15250,13319,150274,6
228,Hell Girl,7,1158,286869,3283,18697,128781,18487,17659,103245,26
229,Ninja Nonsense,7,3939,30291,142,1164,17164,1498,1967,8498,12
230,Air Master,1,3550,32762,155,1618,17231,1617,3016,9280,27
231,Shrine of the Morning Mist,3,7429,6599,6,308,2727,328,493,2743,26
232,Cardcaptor Sakura,5,346,338021,12901,23012,214053,20936,14348,65672,70
233,Unknown,7,1152,20155,262,1368,10846,1830,1509,4602,78
234,Unknown,9,4958,3514,5,163,1873,168,288,1022,26
235,Case Closed,2,349,252940,11827,116021,9,55211,36141,45558,1897
236,E's Otherwise,4,5178,14745,29,651,8175,837,1049,4033,26
237,Eureka Seven,6,426,379048,9241,19890,190807,21434,17462,129455,50
238,Flame of Recca,8,2072,54580,273,2631,29742,2811,2913,16483,42
239,Gankutsuou:The Count of Monte Cristo,10,342,193810,3521,9615,68806,8838,6263,100288,24
240,Genshiken,7,1136,150618,1330,5448,78639,4887,4546,57098,12
241,Girls Bravo,9,6170,123337,329,4987,82265,4061,7118,24906,11
242,The Gokusen,8,1822,34951,210,1147,22258,1005,1006,9535,13
243,Gravitation,8,3562,100585,1322,2643,74479,2326,5043,16094,13
244,Agatha Christie's Great Detectives Poirot and Marple,7,4105,6279,20,398,1983,503,607,2788,39
245,Great Teacher Onizuka,7,44,589324,20870,44940,334925,32815,18032,158612,43
246,Rave Master,8,2474,84354,381,5072,40997,6578,6987,24720,51
247,Haruka:Beyond the Stream of Time – A Tale of the Eight Guardians,1,3462,20801,123,1424,8301,1220,1248,8608,26
248,Strawberry 100%,3,4993,96555,262,3160,63592,2608,4370,22825,12
249,InuYasha,5,740,588434,17186,58693,317986,54480,47273,110002,167
250,Zatch Bell!,7,1434,97615,1143,7577,49331,10474,11073,19160,150
251,King From Now On!,9,1032,91225,1475,8890,37433,9055,8528,27319,78
252,Unknown,2,3366,35303,149,1625,14233,1850,1998,15597,26
253,Haré+Guu,4,757,29653,397,1349,14766,2043,1893,9602,26
254,Haré+Guu Deluxe,6,780,11181,25,208,8508,223,187,2055,6
255,Unknown,8,1162,9171,14,156,6910,186,131,1788,7
256,Voices of a Distant Star,10,2682,130748,551,2158,86683,978,635,40294,1
257,Ikki Tousen,8,6153,131435,439,5981,78151,4465,8534,34304,13
258,Unknown,8,7217,14923,38,445,7283,379,505,6311,4
259,Unknown,7,5198,10264,18,375,6071,316,346,3156,5
260,Unknown,8,5048,23699,30,1018,14637,813,1172,6059,13
261,Unknown,6,4278,13015,8,439,8507,343,330,3396,13
262,Unknown,8,4327,8369,5,195,5757,137,117,2163,3
263,Fighting Spirit,1,32,383603,15543,30922,221671,19458,9660,101892,75
264,Fighting Spirit:Champion Road,3,228,97346,220,1565,82189,502,379,12711,1
265,Unknown,5,278,78073,155,1004,66274,389,300,10106,1
266,Gunparade March:A New Song for the March,7,4435,14072,26,624,7330,445,556,5117,12
267,Gungrave,9,714,154185,2294,6307,72321,5672,5466,64419,26
268,Golden Boy,2,507,251683,3784,8418,176125,4379,3914,58847,6
269,Bleach,4,818,1286382,54386,207985,638922,130961,174710,133804,366
270,Hellsing,6,1586,549632,5798,21198,378129,15518,16327,118460,13
271,Unknown,8,4887,11943,22,582,5138,725,901,4597,26
272,Noir,10,2278,94112,823,4002,40796,5187,5465,38662,26
273,Someday's Dreamers,7,4700,22151,38,945,7762,953,1008,11483,12
274,Kiddy Grade,8,2683,40312,279,1525,22208,1945,2430,12204,24
275,Love♥Love?,8,8506,19439,15,705,11763,552,889,5530,9
276,Mahoromatic:Automatic Maiden,6,2860,53422,198,2031,30964,1853,1793,16781,12
277,Mahoromatic ~Something More Beautiful~,7,2918,28695,44,881,20303,767,675,6069,14
278,Unknown,8,4674,9492,33,390,5169,637,1142,2154,51
279,Requiem from the Darkness,8,2999,30547,114,1576,9714,1284,1134,16839,13
280,Animal Lane,1,4306,2213,9,155,547,279,362,870,51
281,Unknown,3,9040,17094,13,337,11834,352,652,3919,3
282,Unknown,5,2317,14584,72,976,5102,1084,1173,6249,50
283,Anne of Green Gables,7,1012,22024,506,1154,8181,1042,778,10869,50
284,Unknown,9,3517,11646,58,405,5825,486,485,4445,12
285,Unknown,2,4422,21754,71,1002,7082,1088,1252,11330,25
286,Unknown,4,3446,9512,49,394,5719,411,525,2463,25
287,Unknown,6,1779,74715,508,4003,50535,2006,2469,15702,24
288,Beyblade,8,4754,87412,358,1794,74476,1796,4413,4933,51
289,Comic Party,10,5438,16900,31,516,9238,783,1017,5346,13
290,Crest of the Stars,8,1046,42853,423,1637,20068,1117,948,19083,13
291,D.C.S.S. ~Da Capo Second Season~,7,3606,30295,37,879,19784,848,902,7882,26
292,Hoop Days,8,4240,18906,48,970,11116,935,1442,4443,26
293,Unknown,7,4758,17527,108,541,10719,624,1124,4519,16
294,Unknown,7,8440,10680,7,466,4668,457,857,4232,13
295,Misaki Chronicle:Divergence Eve,8,6880,6386,10,271,3124,260,309,2422,13
296,Dragon Drive,9,4761,20176,52,1272,10560,1591,1858,4895,38
297,Grenadier:The Beautiful Warrior,7,4815,49526,69,1793,30372,1695,2365,13301,12
298,.hack//Legend Of The Twilight,8,5343,60523,166,1290,43372,1824,2360,11677,12
299,.hack//Liminality,1,5332,30405,42,642,21632,1063,828,6240,4
300,3x3 Eyes,3,4559,22835,103,675,13962,613,742,6843,4
301,Unknown,5,6755,5726,6,202,2893,269,397,1965,13
302,Future Boy Conan,7,428,35832,450,1576,15262,1183,754,17057,26
303,Oh! My Goddess:The Adventures of Mini-Goddess,9,3934,20009,37,544,12880,845,1176,4564,48
304,Ah! My Goddess:The Movie,2,1355,37975,108,526,30233,355,253,6608,1
305,Unknown,4,9929,3665,11,126,1752,85,137,1565,4
306,Magical☆Shopping Arcade Abenobashi,6,2514,72414,326,2950,36280,3238,3222,26724,13
307,Adventures On Rainbow Pond,8,8189,965,2,32,534,49,139,211,39
308,Unknown,10,3869,16887,59,772,3875,823,877,10540,26
309,Akahori's Heretical Hour Love Game,9,7523,4838,7,239,1613,218,344,2424,13
310,Three Little Ghosts,7,8281,1582,2,43,835,51,158,495,50
311,Unknown,7,3550,9056,57,461,2744,446,413,4992,26
312,Unknown,9,5756,1503,3,84,536,56,92,735,12
313,Aim for the Ace! (1979),8,4296,2981,7,67,1674,53,93,1094,1
314,Unknown,8,4155,2001,18,100,809,90,95,907,13
315,A Chinese Ghost Story,7,5919,2669,8,73,1314,50,86,1146,1
316,"F3:Frantic, Frustrated & Female",6,654,4520,21,269,2475,169,175,1432,3
317,Unknown,8,890,191069,1202,1283,178810,456,460,10060,1
318,Unknown,7,4768,25549,33,871,16773,700,1001,6204,10
319,Unknown,8,8150,5528,6,127,3648,124,158,1471,3
320,Kite,8,145,48597,214,1219,33238,568,617,12955,2
321,Najica Blitz Tactics,8,8229,12788,10,487,7280,454,910,3657,12
322,Paradise Kiss,7,769,150951,2842,5461,90827,4289,4516,45858,12
323,Paranoia Agent,8,1085,288459,4214,14579,136786,11188,7967,117939,13
324,Patlabor:The Mobile Police - The TV Series,7,1063,28592,361,1988,9119,1642,1000,14843,47
325,Peach Girl:Super Pop Love Hurricane,8,3650,79223,815,2808,52978,2517,5523,15397,25
326,Pet Shop of Horrors,7,2492,51510,339,1158,33334,817,833,15368,4
327,Petite Princess Yucie,6,1819,12118,83,490,6683,481,552,3912,26
328,Piano:The Melody of a Young Girl's Heart,8,8155,7678,8,274,3396,332,646,3030,10
329,Planetes,8,219,195630,3540,11078,70506,8862,5944,99240,26
330,Midori Days,8,2430,136704,603,3958,97410,3158,4179,27999,13
331,Magical Circle Guru Guru,8,1256,8821,66,542,3374,588,552,3765,45
332,Magical Circle Guru Guru 2,7,2814,3287,9,158,1563,162,194,1210,38
333,Mama is Just a Fourth Grade Pupil,8,2749,4232,24,212,2071,235,205,1509,51
334,Marmalade Boy,8,1621,42135,578,2957,20651,2972,3067,12488,76
335,Mythical Detective Loki Ragnarok,7,2400,33954,208,1538,18599,1841,1978,9998,26
336,Unknown,8,6117,11611,34,505,4246,617,936,5307,13
337,Psychic Academy,7,7178,9977,8,363,5925,296,509,2884,24
338,The Rose of Versailles,8,206,68422,2375,4264,25057,3813,2311,32977,40
339,Serial Experiments Lain,8,509,480696,16764,30943,218721,23045,15267,192720,13
340,Time of Shura,7,1324,20829,131,1120,11039,748,808,7114,26
341,Spiral:Bond of Reasoning,7,2555,46893,324,1941,25819,2518,2412,14203,25
342,Unknown,7,3653,13490,39,586,5725,562,668,5949,13
343,Tsukuyomi:Moon Phase,7,3657,65203,300,3823,31849,4300,4895,20336,25
344,Twin Spica,7,2034,8664,63,295,4077,425,395,3472,20
345,Emma:A Victorian Romance,7,1097,43246,270,1878,17473,1602,1394,20899,12
346,Double Wish,8,7381,13650,16,528,6726,459,643,5294,13
347,Wild Arms,8,5112,6728,15,290,3355,344,458,2281,22
348,Bottle Fairy,8,6151,16433,48,591,8775,840,1448,4779,13
349,Magical Kanan,8,7413,4439,5,218,1668,153,235,2165,13
350,Magical DoReMi,8,2738,39689,491,2031,24758,2011,2175,8714,51
351,Unknown,7,2141,15723,78,607,11846,472,424,2374,49
352,More! Useless Witch Doremi,7,2166,15987,105,516,11423,560,652,2836,50
353,Useless Witch Doremi Kaboom!,7,1294,12205,181,443,8257,347,328,2830,51
354,Ultimate Girls,9,9317,8125,4,387,3865,309,663,2901,12
355,Shakugan no Shana:Season I,6,1542,462389,5502,20116,288718,18461,20836,114258,24
356,Fate/stay night,6,2152,730980,7011,29998,510563,19938,23686,146795,24
357,Bludgeoning Angel Dokuro-chan,7,5415,168553,738,3874,125119,2837,5649,31074,4
358,Unknown,9,3675,23176,71,742,12756,609,602,8467,6
359,I'll/CKBC,9,6894,4654,5,128,2536,89,118,1783,2
360,Legend of Himiko,8,7165,5119,4,223,2224,245,308,2119,12
361,Unknown,8,8448,5715,4,162,2622,165,225,2541,3
362,Unknown,8,6891,3465,1,94,1952,91,71,1257,3
363,Unknown,8,6963,2967,0,88,1532,87,73,1187,4
364,Unknown,8,1675,11555,54,653,3237,705,651,6309,37
365,Unknown,7,5693,17322,54,213,13736,110,170,3093,1
366,Agent AIKa,7,8407,27134,54,1014,15937,792,1397,7994,7
367,Unknown,7,3445,2245,5,50,1333,66,86,710,3
368,Unknown,8,987,54714,647,2709,39249,1547,2625,8584,6
369,Boogiepop Phantom,7,2899,94052,770,4951,29544,4319,4319,50919,12
370,Burn Up Excess,8,5634,9241,17,339,5216,351,389,2946,13
371,Cardcaptor Sakura The Movie,7,1175,83246,1378,652,72799,450,260,9085,1
372,Card Captor Sakura Movie 2:The Sealed Card,7,291,96284,1663,1070,82231,536,385,12062,1
373,All Purpose Cultural Cat Girl Nuku Nuku,7,4878,9338,25,275,5120,369,385,3189,6
374,All Purpose Cultural Cat Girl Nuku Nuku Dash!,8,6540,4738,6,172,2576,197,260,1533,12
375,All Purpose Cultural Cat Girl Nuku Nuku TV,9,5739,6116,7,241,3006,328,358,2183,12
376,Elfen Lied:In the Passing Rain,8,2819,166365,309,1468,142339,886,614,21058,1
377,Unknown,8,4758,8710,33,293,5151,189,325,2752,6
378,Unknown,9,5200,4198,3,77,2976,61,59,1025,1
379,Excel Saga,8,1579,93418,947,4732,47372,6872,7352,27090,26
380,Mysterious Play OVA,8,2945,19938,94,303,15715,276,195,3449,3
381,Mysterious Play OVA 2,8,2494,17853,77,311,13694,297,201,3350,6
382,Step Up Love Story,7,6568,29617,41,1000,20234,654,853,6876,4
383,Unknown,8,3525,23998,182,914,12598,1320,1562,7604,24
384,Gantz,8,3461,285300,2353,9722,181377,7381,14073,72747,13
385,Gilgamesh,8,5142,33930,173,1543,10972,1831,2730,16854,26
386,Unknown,8,2499,7721,24,465,3394,424,362,3076,41
387,Haibane Renmei,9,548,210376,5890,8977,94017,8068,5394,93920,13
388,Unknown,8,765,20204,240,1064,11499,854,999,5788,52
389,Karas,8,1826,57413,325,2041,31891,2286,1939,19256,6
390,Suzuka,8,2698,99851,688,3918,60350,3318,4318,27947,26
391,Tales of Phantasia,8,4371,20649,48,514,12771,546,371,6447,4
392,Yu Yu Hakusho:Ghost Files,7,127,475397,17768,48404,255542,38905,18135,114411,112
393,Escaflowne:A Girl in Gaea,9,3284,57663,188,1017,38313,625,525,17183,1
394,Ai Yori Aoshi:Enishi,7,2938,51522,88,1157,39986,1082,1115,8182,12
